matchId,teamWon,goldEarned,kills,deaths,assists,cs,visionScore,totalDamageDealtToChampions,totalDamageDealt,teamDragons,teamBarons,teamTowers,enemyDragons,enemyBarons,enemyTowers
EUW1_6947419208,True,59556,27,26,43,851,143,131011,747684,4,1,8,0,0,3
EUW1_6947501398,True,72185,40,30,89,896,157,139725,853697,1,1,11,3,0,7
EUW1_6947588872,True,43669,16,5,17,704,116,50451,531719,2,0,6,0,0,0
EUW1_6948582580,False,39971,11,27,14,651,85,48706,477395,0,0,2,3,1,6
EUW1_6948631056,True,49019,23,10,47,647,131,68748,540549,3,1,8,0,0,2
EUW1_6948676995,False,68499,31,34,47,974,189,96297,894573,2,0,4,3,1,11
EUW1_6956274193,True,62664,31,28,70,810,149,105980,704034,1,2,7,3,0,8
EUW1_6956334573,True,71393,54,27,93,804,157,138847,891416,4,2,9,1,0,3
EUW1_6956387238,True,62532,37,22,68,782,145,123962,725399,3,2,6,1,0,8
EUW1_6962023825,True,34549,18,8,29,445,81,42882,309270,2,0,2,0,0,1
EUW1_6962064677,False,53965,24,36,44,812,134,87506,675891,1,0,4,3,1,11
EUW1_6964137968,True,76636,38,26,59,1093,187,134032,1178407,3,1,7,3,1,9
EUW1_6964200305,False,59254,22,33,37,802,172,90930,803453,2,1,1,3,1,11
EUW1_6968511130,True,59376,28,16,39,846,177,83321,762282,4,1,9,0,0,2
EUW1_6968563139,True,58315,30,15,53,853,143,93413,732489,4,0,5,0,0,3
EUW1_6969598008,True,57470,31,25,41,701,125,78311,603450,3,1,8,0,0,1
EUW1_6969649464,False,56909,25,36,45,867,146,102361,805511,1,0,2,4,2,11
EUW1_6972744920,False,86868,53,44,62,1033,213,180013,1223508,4,2,5,3,1,10
EUW1_6972819220,True,67168,40,31,50,839,154,140801,848318,1,1,11,3,0,4
EUW1_6976245486,False,26560,4,22,8,434,100,31328,301313,2,0,0,1,1,6
EUW1_6976280433,True,43596,21,8,42,568,143,75365,535226,4,0,6,0,1,5
EUW1_6977314876,True,64981,27,22,37,933,176,101846,949146,4,2,11,1,0,2
EUW1_6977369859,False,46088,27,38,41,523,111,83456,474847,1,0,2,2,0,11
EUW1_6977416187,True,54009,29,8,44,776,123,88570,658613,2,0,9,1,0,2
EUW1_6981309030,False,62489,37,32,62,841,147,141215,797036,3,1,3,2,1,11
EUW1_6981363487,True,67965,31,20,44,943,165,95191,940176,3,2,11,1,0,4
EUW1_6981412472,True,73615,38,29,72,896,184,106825,897694,2,2,10,3,0,7
EUW1_6983485811,True,62954,36,16,69,852,165,95402,719852,4,1,9,0,0,5
EUW1_6983548499,False,35409,12,20,20,638,112,45566,443006,1,0,0,1,0,4
EUW1_6984504604,True,62275,40,15,64,752,158,105047,713369,3,2,9,0,0,2
EUW1_6984547407,False,63653,34,45,64,787,162,124504,771087,3,0,3,2,1,10
EUW1_6988328350,False,63368,32,35,48,853,165,102234,858562,3,0,6,2,2,9
EUW1_6988384011,True,62338,37,28,55,753,125,110468,697191,3,1,7,1,1,7
EUW1_6988443569,False,48020,17,33,23,747,147,72351,621970,1,0,2,2,1,11
EUW1_7048729509,True,51446,29,7,40,657,111,75459,614979,3,1,9,1,0,2
EUW1_7048819573,False,50797,16,21,24,765,142,52639,657082,1,1,0,3,0,10
EUW1_7050957913,False,32983,9,16,19,627,55,63372,431033,1,0,3,3,1,11
EUW1_7131139834,True,51177,21,11,48,624,152,77664,584291,3,2,11,2,0,3
EUW1_7131196949,True,63550,36,25,83,667,196,147942,768506,3,2,10,3,0,7
EUW1_7136854033,False,48930,22,29,32,617,147,93512,615044,3,0,7,2,2,11
EUW1_7375500748,False,36219,18,22,20,485,113,60616,354904,1,0,1,2,1,8
EUW1_7375563555,False,21064,4,14,8,323,52,22981,201280,1,0,0,1,0,4
EUW1_7375589407,False,36797,18,34,40,455,94,66619,407559,2,0,0,2,0,10
EUW1_7375652538,False,58739,31,39,107,636,175,148132,700098,2,2,6,4,1,9
EUW1_7376925438,False,45512,13,23,14,802,125,74927,612415,0,0,1,4,1,10
EUW1_7376983632,False,80209,37,30,64,1060,186,185899,1188022,2,2,7,4,0,8
EUW1_7378042147,False,49110,31,26,25,659,93,105004,802205,3,2,6,2,0,9
EUW1_7378976035,True,61086,41,21,34,812,119,100077,828100,2,1,11,1,0,4
EUW1_7379039980,False,40622,13,26,16,576,81,50547,440641,1,0,3,2,0,11
EUW1_7379079406,False,29924,7,18,7,482,66,30936,331937,0,0,0,2,0,6
EUW1_7379119854,False,46224,26,33,31,597,80,78954,467514,2,0,4,1,0,8
EUW1_7380031878,True,41873,22,21,21,629,75,64639,472154,0,0,3,2,0,1
EUW1_7380071903,False,34908,12,33,22,497,65,69210,333732,0,0,0,3,0,5
EUW1_7380108945,False,57932,29,33,55,825,163,109059,712743,2,0,3,3,1,10
EUW1_7382148923,True,33881,12,21,27,463,64,47889,442559,3,1,9,1,0,4
EUW1_7382204090,False,30944,14,24,38,400,72,73369,345419,1,0,2,4,1,11
EUW1_7383284186,True,57000,28,16,54,771,135,77150,658592,1,1,8,3,0,5
EUW1_7383334031,False,79986,34,27,68,1134,233,127072,1242260,3,2,6,2,0,13
EUW1_7384236158,True,44394,21,7,35,644,157,80151,519447,3,1,4,1,0,3
